"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Travis Etienne Jr.","RB","JAC","40","47","38","41","34","","","","","","","","","","","","","","200","40.0"
"DK Metcalf","WR","PIT","53","56","48","42","bye","","","","","","","","","","","","","","199","49.8"
"Lamar Jackson","QB","BAL","51","53","57","38","0","","","","","","","","","","","","","","199","49.8"
"Tyquan Thornton","WR","KC","44","45","55","25","29","","","","","","","","","","","","","","198","39.6"
"Jayden Daniels","QB","WAS","70","69","0","0","59","","","","","","","","","","","","","","198","66.0"
"Bucky Irving","RB","TB","44","57","53","44","0","","","","","","","","","","","","","","198","49.5"
"Travis Hunter","WR","JAC","42","42","37","38","39","","","","","","","","","","","","","","198","39.6"
"Dont'e Thornton Jr.","WR","LV","38","57","39","31","32","","","","","","","","","","","","","","197","39.4"
"Russell Wilson","QB","NYG","68","64","63","2","0","","","","","","","","","","","","","","197","49.3"
"Breece Hall","RB","NYJ","37","30","38","40","51","","","","","","","","","","","","","","196","39.2"
"Kendrick Bourne","WR","SF","0","35","47","44","70","","","","","","","","","","","","","","196","49.0"
"Jahmyr Gibbs","RB","DET","44","33","47","37","32","","","","","","","","","","","","","","193","38.6"
"Hunter Renfrow","WR","CAR","42","69","17","34","30","","","","","","","","","","","","","","192","38.4"
"Josh Jacobs","RB","GB","42","53","43","54","bye","","","","","","","","","","","","","","192","48.0"
"Noah Gray","TE","KC","25","39","49","41","36","","","","","","","","","","","","","","190","38.0"
"Cam Skattebo","RB","NYG","8","35","39","57","50","","","","","","","","","","","","","","189","37.8"
"Jordan Whittington","WR","LAR","30","39","33","60","27","","","","","","","","","","","","","","189","37.8"
"Carson Wentz","QB","MIN","0","0","48","76","64","","","","","","","","","","","","","","188","62.7"
"Chase Brown","RB","CIN","39","49","31","35","33","","","","","","","","","","","","","","187","37.4"
"Luke Farrell","TE","SF","44","41","30","32","38","","","","","","","","","","","","","","185","37.0"
"Mark Andrews","TE","BAL","38","45","46","31","25","","","","","","","","","","","","","","185","37.0"
"Rashod Bateman","WR","BAL","37","33","34","45","35","","","","","","","","","","","","","","184","36.8"
"Jordan Mason","RB","MIN","30","28","36","47","43","","","","","","","","","","","","","","184","36.8"
"Dawson Knox","TE","BUF","48","41","32","24","38","","","","","","","","","","","","","","183","36.6"
"Mack Hollins","WR","NE","38","39","46","24","35","","","","","","","","","","","","","","182","36.4"
"Brock Bowers","TE","LV","32","54","55","40","0","","","","","","","","","","","","","","181","45.3"
"Jahan Dotson","WR","PHI","29","22","52","31","44","","","","","","","","","","","","","","178","35.6"
"Josh Downs","WR","IND","36","41","29","38","33","","","","","","","","","","","","","","177","35.4"
"Chuba Hubbard","RB","CAR","43","63","36","35","0","","","","","","","","","","","","","","177","44.3"
